year,value,units,variable_code
2023,Level 4,AA121,"Sheep
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 3,AA13,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 4,AA131,Dairy Cattle Farming
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 3,AA14,"Poultry
2023,Level 4,AA141,"Poultry
2023,Level 4,AA141,"Poultry
2023,Level 4,AA141,"Poultry
2023,Level 4,AA141,"Poultry
2023,Level 4,AA141,"Poultry
2023,Level 4,AA141,"Poultry
2023,Level 4,AA141,"Poultry
2023,Level 4,AA141,"Poultry
2023,Level 4,AA141,"Poultry
2023,Level 4,AA141,"Poultry
2023,Level 4,AA141,"Poultry
